Name,Website,Specialty,Address,Suburb,Postcode,State
Dr Ronald Dick - Cardiologist,http://www.vcscardiology.com.au/cardiologists/a-prof-ron-dick,Cardiology,Epworth Hospital,RICHMOND,3121,VIC
Sydney Orthopaedic Trauma & Reconstructive Surgery - St Leonards,https://orthotrauma.com.au/,Orthopaedic service,Ama House,ST LEONARDS,2065,NSW
Quantum Radiology Bankstown,https://www.quantumradiology.com.au/quantum-radiology-bankstown/,Radiology service,Floor 258,BANKSTOWN,2200,NSW
South East Radiology - Tahmoor,http://www.southeastradiology.com.au/,Radiology service,Tahmoor Shopping Village,TAHMOOR,2573,NSW
Synapse Neurology - Kew,https://www.synapseneurology.com.au/,Neurology,Cotham Private Hospital,KEW,3101,VIC
Dr. Siva Chandrasekaran - Hoppers Crossing,http://www.moati.com.au/,Orthopaedic service,Quattro Specialist Centre,HOPPERS CROSSING,3029,VIC
HeartWest - St Albans,www.heartwest.com.au,Cardiology,Sunshine Private Hospital,ST ALBANS,3021,VIC
Complete Care Cardiology - Sydenham,https://completecarecardiology.com.au/,Cardiology,Sydenham Specialist Centre,SYDENHAM,3037,VIC
Mr Richard Dallalana - Orthopaedic Surgery,http://www.parkclinic.com.au/,Orthopaedic service,Park Clinic Orthopaedics,EAST MELBOURNE,3002,VIC
"Dr Dermot Collopy, Orthopaedic Surgeon - Subiaco",https://www.hipnknee.com.au/mr-dermot-collopy,Orthopaedic service,"Perth, Hip & Knee Clinic",SUBIACO,6008,WA
"Dr Sue-Ling Liew, Cardiologist - Box Hill",https://www.scardiology.com.au/,Cardiology,Epworth Eastern Hospital,BOX HILL,3128,VIC
The Cardiac Centre & Heartlab - Hope Island Central,http://www.cardiac-centre.com.au,Cardiology,Shop 13,HOPE ISLAND,4212,QLD
I-MED Radiology Rosebud,www.miaradiology.com.au,Radiology service,1535 Point Nepean Road,CAPEL SOUND,3940,VIC
Our Medical Gregory Hills,https://www.ourmedicalhome.com.au/medical-centres/gregory-hills,Pathology; Radiology service,Shop 200,GREGORY HILLS,2557,NSW
AO8 Orthopaedics - Footscray,https://ao8.com.au/,Orthopaedic service,Eleanor House,FOOTSCRAY,3011,VIC
"Mr Troy Keith, Orthopaedic Surgeon - Heidelberg",https://www.footdoctormelbourne.com.au/,Orthopaedic service,Level 5 Suite 3,HEIDELBERG,3084,VIC
Dr Bernard Zicat - Orthopaedic Surgeon - North Ryde,www.orthospecialist.com.au,Orthopaedic service,Level 3 Suite 303,MACQUARIE PARK,2113,NSW
Dr Adam Woodbridge,www.adamwoodbridge.com.au,Orthopaedic service,Unit G05B,BELLA VISTA,2153,NSW
Dr Daniel Rahme - Hurstville,http://drdanielrahme.com.au/,Orthopaedic service,Waratah Private Hospital,HURSTVILLE,2220,NSW
Mr Ali Humadi - Coburg,https://alihumadi.com.au/,Orthopaedic service,291 MORELAND ROAD,COBURG,3058,VIC
Mr Raman Sethi - BUNDOORA,www.ramansethi.com.au,Orthopaedic service,Northpark Private Hospital,BUNDOORA,3083,VIC
Dr Salvatore Rametta - Windsor,https://hearthealthcardiology.com.au/,Cardiology,The Avenue Specialist Consulting Suites,WINDSOR,3181,VIC
Dr Paul Thornton-Bott - Orthopaedic Surgeon - Shellharbour,http://www.paulthorntonbott.com.au,Orthopaedic service,Shellharbour Specialist Suites,BARRACK HEIGHTS,2528,NSW
Diagnostic and Interventional Cardiology Services Dee Why,https://peninsulacardio.com.au/dee-why/,Cardiology,Suite 14,DEE WHY,2099,NSW
Western Eye - Mosman Park,www.westerneye.com.au/,Ophthalmology; Neurology,Unit 5,MOSMAN PARK,6012,WA
Sunshine Coast Heart Specialists - Gympie,https://scheart.com.au/,Cardiology,Ramsay Medical Consulting Suites,GYMPIE,4570,QLD
St John General Practice Cockburn,https://stjohnhealth.com.au/cockburn/general-practice/,Pathology; Radiology service,Cockburn Gateway Shopping City,SUCCESS,6164,WA
Dr Kaihan Yao,https://www.drkaiyao.com.au/,Orthopaedic service,2 Hartnett Drive,SEAFORD,3198,VIC
Marsden Eye Specialists - PENRITH,https://www.marsdeneye.com.au,Ophthalmology,LEVEL 1,PENRITH,2750,NSW
Dr Vishal Patel,http://www.centennialneurology.com.au,Neurology,Unit 109,BELLA VISTA,2153,NSW
Orthosports - Hurstville,www.orthosports.com.au/,Orthopaedic service,Waratah Private Hospital,HURSTVILLE,2220,NSW
Dr Jonathan Negus - St Leonards,http://www.jointworks.com.au/,Orthopaedic service,North Sydney Sports Medicine Centre,ST LEONARDS,2065,NSW
"Dr Brett Fritsch - Orthopaedic Knee Surgeon, Newtown",www.brettfritsch.com.au,Orthopaedic service,Rpa Medical Centre,NEWTOWN,2042,NSW
Dr Roderick Kuo - Specialty Orthopaedics,www.footandanklesurgery.com.au,Orthopaedic service,Norwest Private Hospital,BELLA VISTA,2153,NSW
Dr Raju Yerra - North Melbourne,https://cncvictoria.com.au/,Neurology,Level 3 Suite 308,NORTH MELBOURNE,3051,VIC
Dr Nicholas Cox - Richmond,www.nicholascox.com.au,Cardiology,Epworth Hospital,RICHMOND,3121,VIC
Western Eye Specialists,www.westerneyespecialists.com,Ophthalmology,Level 2,MARIBYRNONG,3032,VIC
Tad Gunkelman - Orthopaedic Surgeon - Bowral,www.drtad.com.au,Orthopaedic service,Level 1 Suite H,BOWRAL,2576,NSW
North Lakes Eye Centre,www.moretoneye.com.au,Ophthalmology,Level 2,NORTH LAKES,4509,QLD
Namazie Orthopaedics - Greenslopes,https://www.namazieorthopaedics.com.au/,Orthopaedic service,Level 1 SUITE 4,GREENSLOPES,4120,QLD
Dr Marcus Chia - Peninsula Orthopaedics,www.drmarcuschia.com,Orthopaedic service,Level 1,DEE WHY,2099,NSW
Dr Hagop Kiyork,https://www.orthosurgery.com.au/locations/northern-beaches/mona-vale/,Orthopaedic service,Ground Floor Suite 4 & 5,MONA VALE,2103,NSW
Wollongong Eye Specialists - Nowra,http://www.wescentre.com.au/,Ophthalmology,45 BRIDGE ROAD,NOWRA,2541,NSW
Mr Grant Pang Orthopaedic Surgeon - East Melbourne,www.mrgrantpang.com.au,Orthopaedic service,"Level 4, Suite 417 - 418",EAST MELBOURNE,3002,VIC
Mr Peter J Gard - Orthopaedic Surgeon - The Park Clinic,https://www.petergard.com.au/,Orthopaedic service,The Park Clinic,EAST MELBOURNE,3002,VIC
Dr Daniel Cohen - Orthopaedic Surgeon,https://drdancohenortho.com.au/,Orthopaedic service,Botany Road Doctors,BEACONSFIELD,2015,NSW
Ben Jeffcote,www.benjeffcote.com.au,Orthopaedic service,Sportreat & Totalife Care,PALMYRA,6157,WA
Nexus Neurology,https://www.nexusneurology.com.au,Neurology,Wexford Medical Centre,MURDOCH,6150,WA
"Dr Kai Goh, Ophthalmologist - Murdoch",www.murdochophthalmology.com.au,Ophthalmology,"SJOG Murdoch, Wexford Medical Centre",MURDOCH,6150,WA
"Dr Chee Yiong Kang, Ophthalmologist",https://www.southstreeteyeclinic.com.au/our_team/dr-chee-kang/,Ophthalmology,South Street Eye Clinic,LEEMING,6149,WA
Dr Con Glezos - Orthopaedic Surgeon,https://www.northsideorthopaedics.com.au/con-glezos.html,Orthopaedic service,Shop 1,CREMORNE,2090,NSW
Dr Marc Friso Orthopaedic Surgeon - Heidelberg,https://marcfriso.com.au/,Orthopaedic service,"Suite 6 Level 2, 214 Burgundy Street",HEIDELBERG,3084,VIC
Dr Archer Broughton - Cardiologist,https://centralparkspecialistcentre.com.au/?page_id=2599,Cardiology,Cabrini Hospital,MALVERN,3144,VIC
